name,address,website,phone
The Coffee Place,"61-63 Woodhouse Rd, London, N12 9ET",http://thecoffeeplace.info/?utm_source=yell&utm_medium=referral&utm_campaign=yell,07491 602335
The Coffee Place,"61-63 Woodhouse Rd, London, N12 9ET",,07491 602335
MAK Tea & Coffee Bar,"513 Kingsbury Rd, London, NW9 9EG",,07956 891199
St Anna,"453 Fulham Rd, London, SW10 9UZ",https://www.facebook.com/st.anna.chelsea/,020 7751 5893
BlueBox.,"1386 High Rd, London, N20 9BH",http://www.theblueboxinlondon.com,020 3675 5173
Angelique Coffee Ltd,"Kemp House, 152-160, City Rd, London, EC1V 2NX",https://angeliquecoffee.co.uk/,020 7157 9515
Maison Bertaux Ltd,"28 Greek St, London, W1D 5DQ",http://www.maisonbertaux.com,020 7437 6007
Canela Covent Garden Ltd,"33 Earlham St, London, WC2H 9LS",http://www.canelacafe.com,020 7240 6926
Monmouth Coffee Co.Ltd,"27 Monmouth St, London, WC2H 9DD",http://www.monmouthcoffee.co.uk,020 7232 3010
Milk Bar,"3 Bateman St, London, W1D 4AG",http://www.milkbarsoho.co.uk,020 7287 4796
Tunnel Meal,"12 The Arches Villiers St, London, WC2N 6NG",http://www.tunnelmeals.co.uk,020 7839 6116
Fernandez & Wells,"73 Beak St, London, W1F 9SR",http://www.fernandezandwells.com,020 7287 8124
Pret a Manger,"25 Villiers St, London, WC2N 6ND",https://www.pret.co.uk,020 7932 5248
The Breakfast Club,"33 D'Arblay St, London, W1F 8EU",http://www.thebreakfastclubcafes.com,020 7434 2571
The Espresso Room,"24 New Row, Charing Cross, LONDON, WC2N 4LA",http://www.theespressoroom.co.uk,020 3583 6949
Costa,"22-24 Leicester Square, LONDON, WC2H 7JY",http://www.costa.co.uk,
Morris's Cafe,"15b Clifford St, London, W1S 4JZ",,020 7734 6930
Marie's Cafe,"90 Lower Marsh, London, SE1 7AB",,020 7928 1050
Cafe Eterno,"34, Neal St, Covent Garden, London, WC2H 9PS",http://www.lcm.org.uk,020 7240 1599
Starbucks Coffee Co (Uk) Ltd,"99 St. Martin's Lane, London, WC2N 4AZ",https://www.starbucks.co.uk,020 7240 5789
Charles Dickens' Coffee House,"26 Wellington St, London, WC2E 7DD",,020 7379 7727
Bar Bruno,"101 Wardour St, London, W1F 0UG",,020 7734 3750
Sweetzcity Ltd,"71-75 Shelton Stt, London, WC2H 9JQ",http://www.sweetzcity.co.uk,07983 240537
Pret a Manger,"77-78 St Martin's Lane, London, WC2N 4AA",https://locations.pret.co.uk/london/77-78-st-martin's-lane,020 7932 5213
Il Panino,"21 Newton St, London, WC2B 5EL",,020 7405 3825
MAK Tea & Coffee Bar,"513 Kingsbury Rd, London, NW9 9EG",,07956 891199
Pistachios in the Park - Red Lion Cafe,"Red Lion Square Gardens, London, WC1R 4QH",,020 3116 0024
Broomfield Cafe,"64 Aldermans Hill, London, N13 4PP",,020 3953 9615
St Anna,"453 Fulham Rd, London, SW10 9UZ",https://www.facebook.com/st.anna.chelsea/,020 7751 5893
St James Kitchen,"36 St James's St, London, E17 7PF",,020 3583 7552
Moosh Cafe,"Kingly Street, Soho, LONDON, W1B 5PW",,020 7386 8688
Victoria House,"5 Coptic St, London, WC1A 1NH",http://www.victoriahouseco.com,07490 000079
Palm Court,"150 Piccadilly, St James's, LONDON, W1J 9BR",,020 7300 2345
Royal Quarter Cafe,"72-73 Buckingham Gate, LONDON, SW1E 6AS",,
Kin,"22 Foley St, London, W1W 6DT",http://kincafe.co.uk/,020 7998 4720
Greek Flavours,"Monomark House, 27, Old Gloucester St, London, WC1N 3AX",https://www.greekflavours.com,020 3445 5795
Starbucks,"22-23 Princes St, London, W1B 2LY",http://www.starbucks.co.uk,020 7495 8370
Mustard Cafe,"40 Margaret St, London, W1G 0JH",,020 7629 0715
Joe & The Juice,"281 Regent Street, Mayfair, LONDON, W1B 2HF",http://www.joejuice.com/,
Caffe Nero,"79 Tottenham Court Rd, London, W1T 4TB",http://www.caffenero.com,020 7580 3885
food hippo,"27 Old Gloucester St, London, WC1N 3AX",http://www.one-delivery.co.uk,020 3633 8667
Tinderbox Within Paperchase,"213-215 Tottenham Court Road, London, W1T 7PS",,0207467 6200
X L N T,"15 Greycoat Place, London, SW1P 1SB",,020 7976 9996
Italia Uno,"91 Charlotte St, London, W1T 4PX",,020 7637 5326
Syrup of Soot Ltd,"38 Museum St, London, WC1A 1LP",http://www.syrupofsoot.com,020 7242 1022
L'Amour Encore,"1 Woodstock St, Mayfair, London, W1C 2AA",,07796 173984
Caffe Quattro,"37 York Rd, London, SE1 7NJ",,020 7261 0044
Starbucks Coffee Co (UK) Ltd,"51 Great Russell St, London, WC1B 3BA",http://www.starbucks.co.uk,020 7404 4939
Cafe Mapa,"20 Great Portland St, London, W1W 8QR",,020 7436 0011
Plenty,"34 Berners Street, Marylebone, LONDON, W1T 3LT",http://www.plenty-cafe.co.uk,020 7637 2635
BIG BITE Convenience Store (24 Hour),"52 Wardour Street, LONDON, W1D 6QU",,020 7434 4498
Sweet N Savoury,"237 Kilburn High Road, LONDON, NW6 7JN",https://www.sweetnsavoury.co.uk/,020 7625 7996
Kulan Cafe,"504 Neasden Lane North, London, NW10 0EA",,0330 113 0500
Nature's Nest,"38 Totteridge Lane, London, N20 9QJ",,020 8519 5681
Pure,"47 Goodge St, London, W1T 1TD",https://www.pure.co.uk/shops/goodgestreet/,020 7240 1555
Bayleaf Cafe,"19 Tottenham St, London, W1T 2AN",,020 7436 6844
Kaffeine Ltd,"66 Great Titchfield St, London, W1W 7QJ",http://www.kaffeine.co.uk,020 7580 6755
Espresso Bar,"Trafalgar Square, London, WC2N 5DN",,020 7747 2885
Pret a Manger,"7-8 St Martin's Place, London, WC2N 4HA",https://www.pret.co.uk,020 7930 6222
Cafe in the Crypt,"within St. Martin in the Fields, Duncannon St, London, WC2N 4JF",http://www.smitf.org,020 7766 1158
W,"43891 Strand, London, WC2N 5EJ",,020 7839 5675
Bonapartes,"Charing Cross Station Strand, London, WC2N 5HS",https://www.compass-group.com/,020 7930 9553
Costa Coffee,"Grand Building Strand, London, WC2N 5EJ",http://www.costa.co.uk,020 7839 5675
Costa Coffee,"Unit 8 Station Concourse, Charing Cross Station, Strand, London, WC2N 5HS",http://www.costa.co.uk,020 7930 1017
Nero Express,"Charing Cross Railway Station, The Strand, London, WC2N 5HS",,0203272 0055
Notes,"31 St Martin's Lane, London, WC2N 4ER",http://www.notes-uk.co.uk,020 7240 0424
Espresso Bar,"Trafalgar Square, Charing Cross, LONDON, WC2N 5DN",,020 7747 2885
Cafe La Roche,"39 St. Martin's Lane, London, WC2N 4ER",http://www.la-roche-london.co.uk,020 7240 8076
Caffe Nero,"36a St Martins Lane, London, WC2N 4ER",http://www.caffenero.com,020 7836 5110
The Theatre Cafe,"99 St. Martin's Lane, London, WC2N 4AS",http://www.thetheatrecafe.co.uk,020 7851 0300
Caffe Concerto,"5-6 Northumberland Avenue, Charing Cross, LONDON, WC2N 5BW",http://www.caffeconcerto.co.uk,020 7494 6844
Pret a Manger,"1 Whitehall, London, SW1A 2DD",https://locations.pret.co.uk/london/1-whitehall,020 7932 5216
La Roche Coffee Shop,"39 St. Martin's Lane, London, WC2N 4ER",http://www.la-roche-london.co.uk,020 7240 3391
Caffe Nero,"60-61 Trafalgar Square, London, WC2N 5DS",http://www.caffenero.com,020 7930 7929
Starbucks Coffee Co (UK) Ltd,"14 Villiers St, London, WC2N 6NQ",http://www.starbucks.co.uk,020 7930 0649
Grace 40,"We serve London|Bromley,BR1",https://www.facebook.com/Grace-40-513267219079094,07786 367880
Sweet N Savoury,"237 Kilburn High Road, LONDON, NW6 7JN",https://www.sweetnsavoury.co.uk/,020 7625 7996
Ella Mia,"45a St. Martin's Lane, London, WC2N 4HX",,020 7300 5588
Tossed,"100 St Martins Lane, London, WC2N 4AZ",http://www.tosseduk.com,020 7836 3842
Eat,"1st Floor Unit R31, London, W2 1HB",http://www.eat.co.uk,0843 506 4040
Starbucks Coffee Co (UK) Ltd,"1-3 Villiers St, London, WC2N 6NN",http://www.starbucks.co.uk,020 7930 0649
Fresh Fruit Smoothies & Juices,"Villiers Street, Charing Cross, LONDON, WC2N 6NE",,
Pret a Manger,"5 Pall Mall East, London, SW1Y 5BA",https://www.pret.co.uk,020 7839 3995
Eat Ltd,"41-42 Bedford St, London, WC2E 9HA",http://www.eat.co.uk,0843 506 4040
La Chandelle,"2-3 Irving Street, London, WC2H 7AT",,02079 304727
Stephano's,"2-3 Irving St, London, WC2H 7AT",,020 7930 4727
Caffe Nero,"10a Bedford Street, London, WC2E 9HE",http://www.caffenero.com,020 7240 9399
Coffee & Bake Ltd,"49 Villiers St, London, WC2N 6NE",http://www.coffeeandbake.co.uk,020 7839 5129
Pompidou,"35-37, Villiers St, London, WC2N 6ND",,020 7839 6010
Soho Coffee Company,"41 Bedford Street, Covent Garden, LONDON, WC2E 9HA",http://www.sohocoffee.co.uk,020 3358 6779
Blues & Royals,"Villiers Street, Charing Cross, LONDON, WC2N 6NE",,
Costa Coffee,"13 New Row, London, WC2N 4LF",http://www.costa.co.uk,020 7240 3423
Pret a Manger,"62-65 Trafalgar Square, London, WC2N 5DS",https://locations.pret.co.uk/london/62-65-trafalgar-square,020 7932 5350
Caffe Italiano,"1 Irving Street, Chinatown, LONDON, WC2H 7AT",,020 7930 4727
Filli Europe Ltd,"21 Charing Cross Rd, London, WC2H 0ET",,020 3982 3679
Caffe Nero,"10 Bedford St, London, WC2E 7HE",http://www.caffenero.com,020 7240 9399
La Chandelle,"2-3 Irving Street, Chinatown, LONDON, WC2H 7AT",,020 7930 4727
Caffe Concerto,"43 Whitehall, London, SW1A 2BX",https://www.caffeconcerto.co.uk,020 7494 6846
New Row Coffee,"24 New Row, London, WC2N 4LA",http://www.newrowcoffee.co.uk,020 3583 6949
Caffe Nero,"32 Cranbourn St, London, WC2H 7AD",http://www.caffenero.com,020 7836 6772
Broomfield Cafe,"64 Aldermans Hill, London, N13 4PP",,020 3953 9496
MAK Tea & Coffee Bar,"513 Kingsbury Rd, London, NW9 9EG",,07956 891199
Eli's Espresso Bar,"28 Bedfordbury, London, WC2N 4BJ",,020 7240 7810
Yaki Yaki,"4 New Row, Charing Cross, LONDON, WC2N 4LH",http://yakiyaki.co.uk,
Host,"31 Henrietta Street, Covent Garden, LONDON, WC2E 8NA",http://www.hostcoffee.co.uk,
Embankment Cafe,"25 Victoria Embankment, London, WC2R 2PN",,020 7930 1471
Coffee Club App Limited,"42 Cranbourn St, London, WC2H 7AN",http://www.coffeeclub.cc,07977 042253
Arabica,"5 King Street, London, WC2E 8SD",http://www.arabica.coffee,020 7379 9621
Costa,"39A Coventry Street, Chinatown, LONDON, W1D 6BZ",http://www.costa.co.uk,
Caffe Nero,"29 Southampton St, London, WC2E 7JA",http://www.caffenero.com,020 7240 3433
Avobar,"23-24 Henrietta Street, Covent Garden, LONDON, WC2E 8NA",http://www.avobar.co.uk,020 3701 6500
Coffee Island,"4b Upper St Martin's Lane, London, WC2H 9NY",http://www.coffeeisland.co.uk,020 7836 3007
Costa Coffee,"Leicester Square Station, Charing Cross Rd, London, WC2H 0AP",http://www.costa.co.uk,020 7494 2456
The Covent Garden Kafeneo,"12-14, Tavistock St, London, WC2E 7PH",http://www.kafeneo.co.uk,020 7240 8577
Madd Hatters,"6-7 Great Newport Street, Chinatown, LONDON, WC2H 7JB",http://www.lovemaddhatters.co.uk,020 7836 8463
Soho Coffee Company,"215 Strand, Charing Cross, LONDON, WC2R 1AP",http://www.sohocoffee.co.uk,020 8090 1333
Viet Cafe,"23 Haymarket, London, SW1Y 4DG",,0207839 3246
Costa Coffee,"37 Southampton St, London, WC2E 7HG",http://www.costa.co.uk,020 7240 2135
Yunique,"10 Little Newport Street, London, WC2H 7JJ",,020 7287 6383
Pret a Manger,"87-88 Strand, London, WC2R 0DW",https://www.pret.co.uk,020 7932 5455
Laduree,"1 The Market, Covent Garden The Piazza, London, WC2E 8RA",https://www.laduree.co.uk/238918/laduree-london-covent-garden.html,020 7240 0706
Caffe Nero,"Unit 1, 65-72, The Strand, London, WC2N 5LR",http://www.caffenero.com,020 7930 8483
Hotel Chocolat Cafe,"Covent Garden, London, WC2E 8RB",https://www.hotelchocolat.com/,020 7836 3349
The Borough Barista Ltd,"15 Charles Ii St, London, SW1Y 4QU",http://www.theboroughbarista.com,020 3272 0222
Caffe Vergnano 1882,"62 Charing Cross Rd, London, WC2H 0BU",http://www.caffevergnano1882.co.uk,020 7240 3512
The Coffee Place,"61-63 Woodhouse Rd, London, N12 9ET",,07491 602335
Happy Lemon Plus,"24A Newport Court, Chinatown, LONDON, WC2H 7JS",http://www.happy-lemon.co.uk,020 7734 1966
The River Terrace,"150 Strand, Charing Cross, LONDON, WC2R 0RN",http://www.somersethouse.org.uk,020 7845 4646
The River Terrace,"150 Strand, Charing Cross, LONDON, WC2R 1JA",http://www.somersethouse.org.uk,020 7845 4646
Pret a Manger,"39 Coventry St, London, W1D 6BZ",https://locations.pret.co.uk/london/39-coventry-street,020 3272 0090
The Arts Cafe,"6-7 Great Newport Street, Chinatown, LONDON, WC2H 7JB",http://www.artstheatrewestend.co.uk,020 7836 8463
Department of Coffee & Social Affairs,"6-7 Great Newport Street, Chinatown, LONDON, WC2H 7JB",http://departmentofcoffee.com,
Costa Pronto,"Cranbourn Street, Chinatown, LONDON, WC2H 7AG",http://www.costa.co.uk,
Costa,"37 Southampton Street, Covent Garden, LONDON, WC2E 7HG",http://www.costa.co.uk,020 7240 2135
Morelli's Gelato,"Covent Garden, LONDON, WC2E 8BE",,020 3602 0540
Timber Yard,"7 Upper St Martins Lane, Covent Garden, LONDON, WC2H 9NY",http://www.timberyardlondon.com,020 3217 2009
Hotel Chocolat,"10 The Market The Piazza, London, WC2E 8RB",https://www.hotelchocolat.com/uk,020 7836 3349
Costa Coffee,"15 Regent St, London, SW1Y 4LR",http://www.costa.co.uk,020 7930 9596
Department of Coffee & Social Affairs,"19 Slingsby Place, Covent Garden, LONDON, WC2E 9AB",http://departmentofcoffee.com,
Absolutely Fad Cafe,"32 Coventry St, London, W1D 6BR",,020 7930 5394
Cupcake Stories,"34 The Market The Piazza, London, WC2E 8RE",http://www.sweetheartcupcakes.co.uk,020 7240 5039
Melba,"100 Strand, London, WC2R 0EW",http://www.fairmont.com/savoy-london/dining/melba,020 7836 4343
Abuelo,"26 Southampton Street, Covent Garden, LONDON, WC2E 7JA",http://www.abuelocafe.co.uk,020 7836 8476
Ole & Steen,"St James 56 Haymarket, No 2 St James Market, London, SW1Y 4RP",https://oleandsteen.co.uk/?y_source=1_MTY5NTUzNDYtNzAyLWxvY2F0aW9uLndlYnNpdGU%3D,020 3828 8242
Woo Tea,"26 Wardour Street, London, W1D 6QL",,020 7434 2028
Urban Tea Rooms,"2A St James's Market, LONDON, SW1Y 4AH",http://www.urbantearooms.com,020 7321 0605
Urban Tea Rooms Ltd,"2 St James's Market, London, SW1Y 4SB",,0207321 0605
Woo Tea,"26 Wardour Street, Chinatown, LONDON, W1D 6QL",,
Venchi,"18 Covent Garden Market, Covent Garden, London, WC2E 8RB",,0203632 1668
Caffe Nero,"27 Haymarket, London, SW1Y 4EN",http://www.caffenero.com,020 7930 9901
Pret a Manger,"Retail Unit 2 2 Regent St, London, SW1Y 4PE",https://locations.pret.co.uk/london/retail-unit-2,020 7932 5309
Yi Fang,"104 Shaftesbury Avenue, London, W1D 5EG",http://www.yifangtea.co.uk,020 7078 4214
Wright's,"15A Pall Mall, Charing Cross, LONDON, SW1Y 5LU",http://www.wrightsoflondon.co.uk,020 7976 1630
The Meat Market,"Unit 1a The Deck Jubilee Market Hall, The Piazza, London, WC2E 8BE",,0207240 4852
Creme De La Crepe,"Unit 29 The Market The Piazza, London, WC2E 8RE",http://www.cremedelacrepe.co.uk,020 7836 6896
Picccadillly Coffee & Meeting House,"Piccadilly Circus, Haymarket, LONDON, W1J 0DA",,020 7800 0000
Candy Cafe,"3 Macclesfield St, London, W1D 6AU",http://www.candycafe.co.uk,020 7439 8507
Prima Sapori Italia,"1 Tavistock St Jubilee Market, The Piazza, London, WC2E 8BE",http://primacoventgarden.com,020 7836 5448
Cafe El Buen Gusto,"39 Frith Street, Chinatown, LONDON, W1D 5LL",,020 7159 4440
Simit Sarayi,"The London Pavilion, 1, Piccadilly, London, W1J 0DA",http://www.simitsarayi.com,020 7734 4302
Fabrique,"8 Earlham St, London, WC2H 9RY",http://fabrique.co.uk/,020 7240 1392
Coco,"52 Dean Street, Chinatown, LONDON, W1D 5BL",http://www.coco-tea.com,020 7831 3945
Flocafe,"83 Shaftesbury Avenue, London, W1D 5DX",http://www.flocafe.gr,020 7734 3559
Caffe Nero,"30 Monmouth St, London, WC2H 9HA",http://www.caffenero.com,020 7240 8918
Cafe Chutney,"34 The Market, The Piazza, London, WC2E 8RE",http://www.cafechutney.co.uk,07956 910444
Z Cafe,"14 Moor St, London, W1D 5AP",http://www.thezhotels.com,020 3551 3701
The Coffee Tree London Ltd ,"222 Shaftesbury Avenue, London, WC2H 8EB",,020 7240 5536
Cafe De Nata,"25 Old Compton St, London, W1D 5JN",http://www.cafedenata.com,020 7734 1279
Starbucks Coffee Co (UK) Ltd,"10 Russell St, London, WC2B 5HZ",http://www.starbucks.co.uk,020 7836 6231
Fresh & Organic Cafe,"174 Drury Lane, London, WC2B 5QF",http://www.freshandorganic.uk/?utm_source=yell&utm_medium=referral&utm_campaign=yell,020 7404 5153
Notes,"36 Wellington Street, Covent Garden, LONDON, WC2E 7BD",http://www.notes-uk.squarespace.com/,020 7240 7899
Pret a Manger,"35 Frith St, London, W1D 5LQ",https://locations.pret.co.uk/london/35-frith-street,020 7287 6729
Caffe Nero,"97-99 Charing Cross Rd, London, WC2H 0DP",http://www.caffenero.com,020 7287 0971
Benugo Cafe,"63 Long Acre, London, WC2E 9JN",http://www.benugo.com,020 7836 9773
Soho Coffee Company,"138-139 Strand, LONDON, WC2R 1QA",http://www.sohocoffee.co.uk,020 3358 6774
Ocraquelin Patisserie,"42 Tavistock Street, London, WC2E 7PB",,07401 983475
Yi Fang,"13 Moor Street, London, W1D 5NH",http://www.yifangtea.co.uk,020 7078 4214
Gelatorino Ltd,"2 Russell St, London, WC2B 5JD",http://www.gelatorino.com,020 7240 0746
Caffe Nero,"2 Lancaster Place, London, WC2E 7EA",http://www.caffenero.com,020 7836 6346
Mont Ruby Tea,"100 Shaftesbury Avenue, London, W1D 5EE",,020 7437 0439
Yolo,"1 Tower Street, Covent Garden, LONDON, WC2H 9NP",,07912 349609
St James Cafe,"41 Pall Mall, London, SW1Y 5JG",,020 7930 1420
Double Shot,"38A Tavistock Street, Covent Garden, LONDON, WC2E 7PB",,020 7240 9742
Milan,"123 Shaftesbury Avenue, London, WC2H 8AD",http://www.milanoleicestersquare.com,020 7434 3633
Caffe Nero,"43 Frith St, London, W1D 4SA",http://www.caffenero.com,020 7434 3887
Tsujiri,"47 Rupert St, London, W1D 7PD",http://www.tsujiri.co.uk,07445 521929
Joe & The Juice,"46 Dean Street, Soho, LONDON, W1D 4QD",http://www.joejuice.com/,
Cafe W,"203-205 Piccadilly, London, W1J 9HD",https://www.waterstones.com,020 7851 2400
Amorino,"41 Old Compton St, London, W1D 6HF",http://www.amorino.com,020 7494 3300
Share Tea,"65 Shaftesbury Avenue, Chinatown, LONDON, W1D 6LH",,020 7734 9097
Machi Machi,"59 Shaftesbury Avenue, Chinatown, LONDON, W1D 6LF",,
26 Grains,"1 Neal's Yard, Covent Garden, LONDON, WC2H 9DP",http://www.26grains.com,
Jacob The Angel,"16A Neal's Yard, Covent Garden, LONDON, WC2H 9DP",http://www.jacobtheangel.co.uk,
Nordic Bakery,"55 Neal St, London, WC2H 9PJ",http://www.nordicbakery.com,020 7836 4996
Caffe Nero,"Customer Services, 9-15, Neal St, London, WC2H 9PW",http://www.caffenero.com,020 7520 5150
Pride Kitchen,"2B Neal's Yard, Covent Garden, LONDON, WC2H 9DP",http://www.pride.kitchen,020 7836 2779
Cakes & Bubbles,"68a Regent Street, London, W1B 5RJ",http://hotelcaferoyal.com,020 7406 3310
My Cup of Tea,"Unit 5 Denman Place, London, W1D 7HH",http://www.mycupoftea.co.uk,020 7287 2255
Pret a Manger,"37 Shelton St, London, WC2H 9HN",https://locations.pret.co.uk/london/37-shelton-street,020 7932 5466
Pret a Manger,"120-125 Strand, London, WC2R 0AP",https://locations.pret.co.uk/london/120-125-strand,020 7240 2689
